family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Encoding detection	simdutf::to_string	std::string_view (encoding_type)	include/simdutf/encoding_types.h:46	always	split C++ enum overload because Go cannot overload	EncodingString	func EncodingString(value Encoding) string	Encoding value	none	string	exact table: UTF8; UTF16 little-endian; UTF16 big-endian; UTF32 little-endian; UTF32 big-endian; unspecified -> unknown; Latin1 or any other value -> error	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/encoding_types.cpp:3-20	not_applicable: non-accelerated string helper	not_applicable: non-accelerated string helper	tests; exact encoding string table required in Go	not_applicable: finite enum/value table	not_applicable: string helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Base64	simdutf::to_string	std::string_view (base64_options)	include/simdutf/implementation.h:4194	SIMDUTF_FEATURE_BASE64	split C++ enum overload because Go cannot overload	Base64OptionsString	func Base64OptionsString(value Base64Options) string	Base64Options value	none	string	exact table including value 2 -> base64_reverse_padding and unknown values -> <unknown>	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:4194-4214	not_applicable: non-accelerated string helper	not_applicable: non-accelerated string helper	tests; exact Base64 option string table required in Go	not_applicable: finite enum/value table	not_applicable: string helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Base64	simdutf::to_string	std::string_view (last_chunk_handling_options)	include/simdutf/implementation.h:4216	SIMDUTF_FEATURE_BASE64	split C++ enum overload because Go cannot overload	LastChunkHandlingOptionsString	func LastChunkHandlingOptionsString(value LastChunkHandlingOptions) string	LastChunkHandlingOptions value	none	string	exact four-value table; unknown values -> <unknown>	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:4216-4228	not_applicable: non-accelerated string helper	not_applicable: non-accelerated string helper	tests; exact last-chunk option string table required in Go	not_applicable: finite enum/value table	not_applicable: string helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Result/error	simdutf::error_to_string	std::string_view (error_code) noexcept	include/simdutf/error.h:47	always	mapped one-to-one	ErrorToString	func ErrorToString(value ErrorCode) string	ErrorCode value	none	string	exact error-code table; unrecognized values -> OTHER	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/error.h:47-74	not_applicable: non-accelerated string helper	not_applicable: non-accelerated string helper	tests; exact error-code string table required in Go	not_applicable: finite enum/value table	not_applicable: string helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Encoding detection	simdutf::autodetect_encoding	simdutf::encoding_type (const char *, size_t) noexcept	include/simdutf/implementation.h:202	SIMDUTF_FEATURE_DETECT_ENCODING	collapsed char and uint8_t pointer spellings to []byte	AutodetectEncoding	func AutodetectEncoding(input []byte) Encoding	bytes ([]byte)	none	Encoding	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no autodetect_encoding occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no autodetect_encoding occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no autodetect_encoding occurrence under src/arm64 at pinned tree	tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/straight_c_test.c	fuzz/misc.cpp	benchmarks/alignment.cpp;benchmarks/src/benchmark_base.cpp;benchmarks/stream.cpp;benchmarks/threaded.cpp	planned	future-upstream-api	not_applicable
Encoding detection	simdutf::detect_encodings	int (const char *, size_t) noexcept	include/simdutf/implementation.h:238	SIMDUTF_FEATURE_DETECT_ENCODING	collapsed char and uint8_t pointer spellings to []byte	DetectEncodings	func DetectEncodings(input []byte) Encoding	bytes ([]byte)	none	Encoding bitset	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/detect_encodings_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/misc.cpp;fuzz_encoding_detection_test.go (planned direct scalar-differential target for DetectEncodings)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
UTF-8	simdutf::validate_utf8	bool (const char *, size_t) noexcept	include/simdutf/implementation.h:265	SIMDUTF_FEATURE_UTF8	mapped one-to-one	ValidateUTF8	func ValidateUTF8(input []byte) bool	bytes ([]byte)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf8_to_latin1_tests.cpp;tests/convert_utf8_to_latin1_with_errors_tests.cpp;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/convert_utf8_to_utf32_tests.cpp;tests/convert_utf8_to_utf32_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/embed_tests.cpp;tests/helpers/transcode_test_base.cpp;tests/installation_tests/find/CMakeLists.txt;tests/installation_tests/from_fetch/CMakeLists.txt;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/reference/CMakeLists.txt;tests/reference/validate_utf8.cpp;tests/reference/validate_utf8.h;tests/reference/validate_utf8_to_latin1.cpp;tests/reference/validate_utf8_to_latin1.h;tests/select_implementation.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp;tests/straight_c_test.c;tests/validate_utf8_basic_tests.cpp;tests/validate_utf8_brute_force_tests.cpp;tests/validate_utf8_puzzler_tests.cpp;tests/validate_utf8_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/with_replacement.cpp;fuzz_utf_8_test.go (planned direct scalar-differential target for ValidateUTF8)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-8	simdutf::validate_utf8_with_errors	result (const char *, size_t) noexcept	include/simdutf/implementation.h:296	SIMDUTF_FEATURE_UTF8	mapped one-to-one	ValidateUTF8WithErrors	func ValidateUTF8WithErrors(input []byte) Result	bytes ([]byte)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf8_to_latin1_tests.cpp;tests/convert_utf8_to_latin1_with_errors_tests.cpp;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/convert_utf8_to_utf32_tests.cpp;tests/convert_utf8_to_utf32_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c;tests/validate_utf8_puzzler_tests.cpp;tests/validate_utf8_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_8_test.go (planned direct scalar-differential target for ValidateUTF8WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
ASCII	simdutf::validate_ascii	bool (const char *, size_t) noexcept	include/simdutf/implementation.h:326	SIMDUTF_FEATURE_ASCII	mapped one-to-one	ValidateASCII	func ValidateASCII(input []byte) bool	bytes ([]byte)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/nostdlibcxx_c_api_test.c;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c;tests/validate_ascii_basic_tests.cpp;tests/validate_ascii_with_errors_tests.cpp	fuzz/misc.cpp;fuzz_ascii_test.go (FuzzValidateASCII)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
ASCII	simdutf::validate_ascii_with_errors	result (const char *, size_t) noexcept	include/simdutf/implementation.h:356	SIMDUTF_FEATURE_ASCII	mapped one-to-one	ValidateASCIIWithErrors	func ValidateASCIIWithErrors(input []byte) Result	bytes ([]byte)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c;tests/validate_ascii_with_errors_tests.cpp	fuzz/misc.cpp;fuzz_ascii_test.go (FuzzValidateASCII)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
