semantic_operation	upstream_scalar_source	upstream_generic_source	westmere_source	haswell_source	arm64_source	westmere_declared_features	haswell_declared_features	arm64_features	amd64_asm_phase	amd64_asm_reason	arm64_asm_phase	arm64_asm_reason	archsimd_status	archsimd_reason	required_opcode_audit	provenance_notes
DetectEncodings	src/fallback/implementation.cpp	-	src/westmere/implementation.cpp	src/haswell/implementation.cpp	src/arm64/implementation.cpp	SSE4.2,POPCNT family region; exact opcodes pending audit	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; exact opcodes pending audit	NEON	required	direct SIMD target implementations exist on both amd64 families	required	direct arm64 SIMD implementation exists	pending-audit	mixed UTF8/UTF16/UTF32 scan must directly map to archsimd or become not_applicable	GOAMD64=v1: audit SSE/AVX and all POPCNT/BMI/LZCNT opcodes; AVX requires CPUID AVX+OSXSAVE+XCR0 XMM/YMM+AVX2	Pin: src/{fallback,westmere,haswell,arm64}/implementation.cpp
ValidateASCII and ValidateASCIIWithErrors	src/fallback/implementation.cpp; include/simdutf/scalar/ascii.h	src/generic/ascii_validation.h	src/westmere/implementation.cpp (generic include)	src/haswell/implementation.cpp (generic include)	src/arm64/implementation.cpp (generic include)	SSE4.2,POPCNT family region; generic opcode audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; generic opcode audit required	NEON	required	generic SIMD algorithm is instantiated in x86 target implementations	required	generic SIMD algorithm is instantiated in arm64	pending-audit	reduce-or/validation primitives require direct Go 1.26.5 operation audit	prove vector reduction/test and prohibit unneeded POPCNT/BMI/LZCNT guards	Pin: include/simdutf/scalar/ascii.h; src/generic/ascii_validation.h
ValidateUTF8 and ValidateUTF8WithErrors	src/fallback/implementation.cpp; include/simdutf/scalar/utf8.h	src/generic/utf8_validation/utf8_lookup4_algorithm.h; src/generic/utf8_validation/utf8_validator.h	src/westmere/implementation.cpp; src/westmere/internal/loader.cpp	src/haswell/implementation.cpp	src/arm64/implementation.cpp	SSE4.2,POPCNT family region; generic opcode audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; generic opcode audit required	NEON	required	upstream target paths instantiate vector UTF8 validation	required	upstream arm64 target instantiates vector UTF8 validation	pending-audit	lookup/shuffle/error-location operations must map directly or become not_applicable	audit shuffle, ctz/tzcnt/popcnt/lzcnt, and exact error return/output semantics	Fuchsia credit retained if scalar utf8.h control flow is adapted
ValidateUTF16LE/BE, AsASCII, and WithErrors	src/fallback/implementation.cpp; include/simdutf/scalar/utf16.h	src/generic/validate_utf16.h	src/westmere/sse_validate_utf16.cpp	src/haswell/avx2_validate_utf16.cpp	src/arm64/arm_validate_utf16.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct Westmere and Haswell validation kernels exist	required	direct NEON validation kernel exists	pending-audit	vector mask/surrogate carry path needs direct mapping audit	audit endian variants, mask/carry operations, and all bit-manipulation opcodes	Pin: src/{westmere,haswell,arm64}/*validate_utf16.cpp
ValidateUTF32 and ValidateUTF32WithErrors	src/fallback/implementation.cpp; include/simdutf/scalar/utf32.h	src/generic/validate_utf32.h	src/westmere/implementation.cpp (generic include)	src/haswell/implementation.cpp (generic include)	src/arm64/arm_validate_utf32le.cpp	SSE4.2,POPCNT family region; generic opcode audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; generic opcode audit required	NEON	required	x86 target files instantiate generic vector validation	required	direct arm64 UTF32LE kernel exists	pending-audit	max/range/mask mapping requires direct intrinsic audit	audit vector range compare plus no unguarded non-baseline scalar opcode	Pin: scalar utf32.h; generic validate_utf32.h; arm_validate_utf32le.cpp
ToWellFormedUTF16LE/BE	src/fallback/implementation.cpp; include/simdutf/scalar/utf16.h	src/generic/utf16/to_well_formed.h	src/westmere/sse_utf16fix.cpp	src/haswell/avx2_utf16fix.cpp	src/arm64/arm_utf16fix.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct SSE/AVX2 fixup kernels exist	required	direct NEON fixup kernel exists	pending-audit	lane lookback/mask replacement must map without pseudo-SIMD	audit unaligned/load boundary safety and SSE/AVX/NEON instructions	Pin: src/{westmere,haswell,arm64}/*utf16fix.cpp
ConvertLatin1ToUTF8	src/fallback/implementation.cpp; include/simdutf/scalar/latin1_to_utf8/latin1_to_utf8.h	-	src/westmere/sse_convert_latin1_to_utf8.cpp	src/haswell/avx2_convert_latin1_to_utf8.cpp	src/arm64/arm_convert_latin1_to_utf8.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	widen/pack path needs real archsimd operations	audit vector widen/pack and any POPCNT/BMI/LZCNT instruction	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf8.cpp
ConvertLatin1ToUTF16LE/BE	src/fallback/implementation.cpp; include/simdutf/scalar/latin1_to_utf16/latin1_to_utf16.h	-	src/westmere/sse_convert_latin1_to_utf16.cpp	src/haswell/avx2_convert_latin1_to_utf16.cpp	src/arm64/arm_convert_latin1_to_utf16.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	endian widen/store path needs direct intrinsic mapping audit	audit raw-storage endian output and vector store bounds	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf16.cpp
ConvertLatin1ToUTF32	src/fallback/implementation.cpp; include/simdutf/scalar/latin1_to_utf32/latin1_to_utf32.h	-	src/westmere/sse_convert_latin1_to_utf32.cpp	src/haswell/avx2_convert_latin1_to_utf32.cpp	src/arm64/arm_convert_latin1_to_utf32.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	widen path needs direct intrinsic mapping audit	audit widening instructions and GOAMD64=v1 baseline compliance	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf32.cpp
ConvertUTF8ToLatin1, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf8_to_latin1/utf8_to_latin1.h; include/simdutf/scalar/utf8_to_latin1/valid_utf8_to_latin1.h	src/generic/utf8_to_latin1/utf8_to_latin1.h; src/generic/utf8_to_latin1/valid_utf8_to_latin1.h	src/westmere/sse_convert_utf8_to_latin1.cpp	src/haswell/avx2_convert_utf8_to_latin1.cpp	src/arm64/arm_convert_utf8_to_latin1.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels and generic valid/error helpers exist	required	direct arm64 kernel and generic helpers exist	pending-audit	shuffle/table conversion requires exact vector primitive audit	audit table provenance, shuffle instructions, and return/destination equivalence	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_latin1.cpp
ConvertUTF8ToUTF16LE/BE, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf8_to_utf16/utf8_to_utf16.h; include/simdutf/scalar/utf8_to_utf16/valid_utf8_to_utf16.h	src/generic/utf8_to_utf16/utf8_to_utf16.h; src/generic/utf8_to_utf16/valid_utf8_to_utf16.h	src/westmere/sse_convert_utf8_to_utf16.cpp	src/haswell/avx2_convert_utf8_to_utf16.cpp	src/arm64/arm_convert_utf8_to_utf16.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	shuffle/table/surrogate path must map directly or become not_applicable	audit vector shuffle/widen, exact LE/BE stores, and bit-manipulation opcodes	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_utf16.cpp
ConvertUTF8ToUTF32, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf8_to_utf32/utf8_to_utf32.h; include/simdutf/scalar/utf8_to_utf32/valid_utf8_to_utf32.h	src/generic/utf8_to_utf32/utf8_to_utf32.h; src/generic/utf8_to_utf32/valid_utf8_to_utf32.h	src/westmere/sse_convert_utf8_to_utf32.cpp	src/haswell/avx2_convert_utf8_to_utf32.cpp	src/arm64/arm_convert_utf8_to_utf32.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	vector decode/widen path needs direct mapping audit	audit valid/error variants preserve scalar Result and output bytes	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_utf32.cpp
ConvertUTF16LE/BEToLatin1, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf16_to_latin1/utf16_to_latin1.h; include/simdutf/scalar/utf16_to_latin1/valid_utf16_to_latin1.h	-	src/westmere/sse_convert_utf16_to_latin1.cpp	src/haswell/avx2_convert_utf16_to_latin1.cpp	src/arm64/arm_convert_utf16_to_latin1.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	endian compare/narrow path needs direct mapping audit	audit raw-storage endian behavior, narrowing, and error paths	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_latin1.cpp
ConvertUTF16LE/BEToUTF8, WithErrors, Valid, and WithReplacement	src/fallback/implementation.cpp; include/simdutf/scalar/utf16_to_utf8/utf16_to_utf8.h; include/simdutf/scalar/utf16_to_utf8/valid_utf16_to_utf8.h	src/generic/utf16_to_utf8/utf16_to_utf8_with_replacement.h	src/westmere/sse_convert_utf16_to_utf8.cpp; src/westmere/internal/write_v_u16_11bits_to_utf8.cpp	src/haswell/avx2_convert_utf16_to_utf8.cpp	src/arm64/arm_convert_utf16_to_utf8.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	replacement/table/shuffle path needs direct intrinsic audit	audit replacement Result/count and all vector/shuffle/bit opcodes	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_utf8.cpp
ConvertUTF16LE/BEToUTF32, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf16_to_utf32/utf16_to_utf32.h; include/simdutf/scalar/utf16_to_utf32/valid_utf16_to_utf32.h	-	src/westmere/sse_convert_utf16_to_utf32.cpp	src/haswell/avx2_convert_utf16_to_utf32.cpp	src/arm64/arm_convert_utf16_to_utf32.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	endian/widen/surrogate path needs direct mapping audit	audit LE/BE output and error count equivalence	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_utf32.cpp
ConvertUTF32ToLatin1, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf32_to_latin1/utf32_to_latin1.h; include/simdutf/scalar/utf32_to_latin1/valid_utf32_to_latin1.h	-	src/westmere/sse_convert_utf32_to_latin1.cpp	src/haswell/avx2_convert_utf32_to_latin1.cpp	src/arm64/arm_convert_utf32_to_latin1.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	AVX2 pack/permute needs direct mapping audit	audit range validation and narrow/permute instructions	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_latin1.cpp
ConvertUTF32ToUTF8, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf32_to_utf8/utf32_to_utf8.h; include/simdutf/scalar/utf32_to_utf8/valid_utf32_to_utf8.h	src/generic/utf32.h	src/westmere/sse_convert_utf32_to_utf8.cpp	src/haswell/avx2_convert_utf32_to_utf8.cpp	src/arm64/arm_convert_utf32_to_utf8.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	variable packing/shuffle/table operations need direct mapping audit	audit table checksum and packing/shuffle instructions	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_utf8.cpp
ConvertUTF32ToUTF16LE/BE, WithErrors, and Valid	src/fallback/implementation.cpp; include/simdutf/scalar/utf32_to_utf16/utf32_to_utf16.h; include/simdutf/scalar/utf32_to_utf16/valid_utf32_to_utf16.h	-	src/westmere/sse_convert_utf32_to_utf16.cpp	src/haswell/avx2_convert_utf32_to_utf16.cpp	src/arm64/arm_convert_utf32_to_utf16.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct x86 kernels exist	required	direct arm64 kernel exists	pending-audit	packing/surrogate expansion needs direct mapping audit	audit range/surrogate correctness and vector pack/store instructions	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_utf16.cpp
UTF16 byte swap, CountUTF16/UTF8, and length helpers	src/fallback/implementation.cpp; include/simdutf/scalar/swap_bytes.h; include/simdutf/scalar/utf16.h; include/simdutf/scalar/utf8.h	src/generic/utf16/change_endianness.h; src/generic/utf16/count_code_points_bytemask.h; src/generic/utf16/utf32_length_from_utf16.h; src/generic/utf16/utf8_length_from_utf16.h; src/generic/utf16/utf8_length_from_utf16_bytemask.h; src/generic/utf8.h; src/generic/utf32.h	src/westmere/implementation.cpp (generic includes)	src/haswell/implementation.cpp (generic includes)	src/arm64/implementation.cpp (generic includes)	SSE4.2,POPCNT family region; helper opcode audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; helper opcode audit required	NEON	required	upstream instantiates generic SIMD helpers on x86	required	upstream instantiates generic SIMD helpers on arm64	pending-audit	individual helper mapping/count unit must be audited; no blanket implementation	audit each helper’s vector and count/ctz/popcnt instructions; predicate may differ per helper	Pin: target implementation.cpp files and named generic helpers
Base64 binary-to-text including lines	src/fallback/implementation.cpp; include/simdutf/scalar/base64.h	src/generic/base64.h; src/generic/base64lengths.h	src/westmere/sse_base64.cpp	src/haswell/avx2_base64.cpp	src/arm64/arm_base64.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct SIMD encoders exist in both x86 target trees	required	direct NEON encoder exists	pending-audit	encode tables/pack/shuffle must map directly or be not_applicable	audit table checksum, vector shuffle/pack, and each count/bit instruction	Pin: src/{westmere,haswell,arm64}/*base64.cpp
Base64 text-to-binary, details/safe forms, and binary length	src/fallback/implementation.cpp; include/simdutf/scalar/base64.h	src/generic/base64.h; src/generic/base64lengths.h	src/westmere/sse_base64.cpp	src/haswell/avx2_base64.cpp	src/arm64/arm_base64.cpp	SSE4.2,POPCNT family region; direct kernel audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; direct kernel audit required	NEON	required	direct SIMD decoders exist in both x86 target trees	required	direct NEON decoder exists	pending-audit	mask compression/error detail path must map directly or be not_applicable	audit Result/written semantics, table checksum, POPCNT/BMI/LZCNT and other emitted opcodes	Pin: src/{westmere,haswell,arm64}/*base64.cpp
Find byte and UTF16 overloads	src/fallback/implementation.cpp	src/generic/find.h	src/westmere/implementation.cpp (generic include)	src/haswell/implementation.cpp (generic include)	src/arm64/arm_find.cpp	SSE4.2,POPCNT family region; generic opcode audit required	AVX2,BMI1/BMI2,LZCNT,POPCNT family region; generic opcode audit required	NEON	required	x86 targets instantiate generic vector find	required	direct arm64 find kernel exists	pending-audit	compare/movemask/index operations need direct mapping audit	audit first-match semantics and any ctz/tzcnt/popcnt opcode before selector	Pin: src/generic/find.h; src/arm64/arm_find.cpp
BOM check and scalar-only public wrappers	src/fallback/implementation.cpp; include/simdutf/encoding_types.h; include/simdutf/implementation.h	-	-	-	-	-	-	-	not_applicable	no upstream target-specific kernel; use scalar/BOM helper	not_applicable	no upstream target-specific kernel; use scalar/BOM helper	not_applicable	no upstream vector algorithm to map	assert no SIMD dispatch cell is created solely for wrappers	Pin: include/simdutf/encoding_types.h; include/simdutf/implementation.h
