mapping_version	row_key_v1	manifest_ordinal	canonical_row_rank	family_contract_display_id	backend	cell_storage_id	semantic_operation_id	isa_ordinal_or_scalar	backend_outcome	backend_na_reason	backend_evidence_anchor	direct_symbol	direct_symbol_storage_id	shared_kernel_id	kernel_owner_cell_key	kernel_owner_dependency_id	kernel_batch_display_id	kernel_batch_storage_id	evidence_batch_display_id	evidence_batch_storage_id
v1	rk-v1-512dd68afebe62d40e9920d45ea6a780fc3cea6a767e0c2961755e73a01b7cef	1	102	FC-v1-detection	westmere	cell-v1-d758ee202fffa3da7640f2af2714efb2760adcc88034e50c73a18b2eebd303b8	op-v1-0c6382f98d1cc51416fe262ac6350e9ebb363f5ca3d733835fa6eeae3f76e53f	scalar	not_applicable	composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings									
v1	rk-v1-512dd68afebe62d40e9920d45ea6a780fc3cea6a767e0c2961755e73a01b7cef	1	102	FC-v1-detection	haswell	cell-v1-7a3628693879a0b3f275d8354951092cb46dcdf45bc446a6ba27ad31df1e0874	op-v1-0c6382f98d1cc51416fe262ac6350e9ebb363f5ca3d733835fa6eeae3f76e53f	scalar	not_applicable	composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings									
v1	rk-v1-512dd68afebe62d40e9920d45ea6a780fc3cea6a767e0c2961755e73a01b7cef	1	102	FC-v1-detection	archsimd	cell-v1-b09b806150c376ff2b278305f0c70e14d04f11666fb8e380b890642733e435de	op-v1-0c6382f98d1cc51416fe262ac6350e9ebb363f5ca3d733835fa6eeae3f76e53f	scalar	not_applicable	composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings									
v1	rk-v1-512dd68afebe62d40e9920d45ea6a780fc3cea6a767e0c2961755e73a01b7cef	1	102	FC-v1-detection	neon	cell-v1-7d41d117c06be726613d6fb786030ccdcc7a84e60b28ca34757d3bec8c7501c3	op-v1-0c6382f98d1cc51416fe262ac6350e9ebb363f5ca3d733835fa6eeae3f76e53f	scalar	not_applicable	composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings									
v1	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	2	101	FC-v1-detection	westmere	cell-v1-43046ebf5e307f3442cc384e544a9e43e359e0d4601b23a590a181ad5807db93	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	1	eligible		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/westmere/implementation.cpp:156	detectEncodingsWestmere	symbol-v1-0e1fbc9c107d5ea7b372bed7bb5739998fa1bbd134958e35054a7ae96f2265a9	shared-kernel-v1-c599ce3cde8b09e1080bdb87057325a2317dc24470870c389c902a817150ea2d	cell-v1-43046ebf5e307f3442cc384e544a9e43e359e0d4601b23a590a181ad5807db93		KB-v1-FC-v1-detection-westmere-01	batch-v1-e5d93a4fba43c1edd1d4b41866fb75618ea7666f7633f912dbfff8f97f2b3993	EB-v1-KB-v1-FC-v1-detection-westmere-01-01	batch-v1-73788bdfca6107a28ccb6c0b6088633541fddfb4d7c2f4adf7ba394af3d61c00
v1	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	2	101	FC-v1-detection	haswell	cell-v1-167cda8f79e14c93dbeae5d915e74e5ce92d914f2d14d6f1655f28afc04b07ac	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	1	eligible		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/haswell/implementation.cpp:155	detectEncodingsHaswell	symbol-v1-42e0f7ae69dcc010aba9ee057bdf978ae10e07c92a44ab2fea130f5acd2f29a6	shared-kernel-v1-4004e5dee4f9ddc9778bb36827413e275691f783322c3f79af39f083cd92b1a4	cell-v1-167cda8f79e14c93dbeae5d915e74e5ce92d914f2d14d6f1655f28afc04b07ac		KB-v1-FC-v1-detection-haswell-01	batch-v1-32eae2afa2c1437c04e66d6887b38254223a4201cff0b33ebac0f25e2353355f	EB-v1-KB-v1-FC-v1-detection-haswell-01-01	batch-v1-8b09b6701107a2f8b4288d2b46bd9a14b7cf8c5e1712b507513a6e01569e4fdd
v1	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	2	101	FC-v1-detection	archsimd	cell-v1-dd2188dbf84e24449114bd7417d380fc7c1977ef7a6d8f14f169587a69673a66	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	1	eligible		simd/archsimd Go 1.26.5:FC-v1-detection audit row; required primitives: mixed UTF-8/16/32 vector scans and mask reductions; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	detectEncodingsArchsimd	symbol-v1-9b6c3a7f0db34353b953d36fd1820c6db7c8cd9bc3cd1015c9f85877dc82983a	shared-kernel-v1-f49f9b7f3ce484d150a9c1d327c238b4d76e1159949d4346abd910f94c9e7053	cell-v1-dd2188dbf84e24449114bd7417d380fc7c1977ef7a6d8f14f169587a69673a66		KB-v1-FC-v1-detection-archsimd-01	batch-v1-1acf8e0d8dd2204a9a5bc1974c6d6a61e8caba301ff211b2f3f9c98abd51bb51	EB-v1-KB-v1-FC-v1-detection-archsimd-01-01	batch-v1-2cd30577d5bb5319887a255dd5678685a174e8ebbbad3f0904116ce24beaf9ee
v1	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	2	101	FC-v1-detection	neon	cell-v1-3f7e20783deee1a02b5b7a94099de1f4ec2f72c7d8193553009d07df553619ef	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	1	eligible		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/arm64/implementation.cpp:212	detectEncodingsNEON	symbol-v1-f8eaaea76a66381e72b5f7fab918139b21f25e043c398f1799b3d629dfe11df7	shared-kernel-v1-acece69ca9206b5a0c2dbe08bd4547a1071d39970805ca51aaa595a18e79b768	cell-v1-3f7e20783deee1a02b5b7a94099de1f4ec2f72c7d8193553009d07df553619ef		KB-v1-FC-v1-detection-neon-01	batch-v1-c09fd8d1527b89219e13d0df4720046e026bcad6a7cdfee7572fa4599f5f06cc	EB-v1-KB-v1-FC-v1-detection-neon-01-01	batch-v1-1c256a01bba40559794237087037328e4ebf79b1b7c623ee616bc54d41771b62
v1	rk-v1-a52cedcdbe49ab966c5c1d460c3fa50ce38c5e93f1ac07b8e8ce8fcfa73ba3be	3	10	FC-v1-helper-validation	westmere	cell-v1-9a2a5abc397c7ba1eda58f19184b053d2af3dcd2093f4f5ff216349e179e91ec	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	4	not_applicable	native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477									
v1	rk-v1-a52cedcdbe49ab966c5c1d460c3fa50ce38c5e93f1ac07b8e8ce8fcfa73ba3be	3	10	FC-v1-helper-validation	haswell	cell-v1-f723edd96f77610d3a707b47c485b5bee06898afd43cf5718b916d968ba8d3d2	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	4	not_applicable	native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477									
