mapping_version	backend	canonical_kernel_name	shared_kernel_id	family_contract_display_id	semantic_operation_id	kernel_owner_cell_key	member_count
v1	archsimd	validateUTF16BEWithErrors	shared-kernel-v1-0216dff30b4134c57d66eeb6997e1a3c0bf2f90e863e207fc9a25d8c948fbab7	FC-v1-helper-validation	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	cell-v1-54515b294694f14f364f062e6625cc65616f4647552f63767dd446f7ca9f1b6c	1
v1	archsimd	convertValidUTF8ToLatin1	shared-kernel-v1-067ca4912f71e40f567a220b2965ac24c3d63aadcce1662a93044910e2d86eab	FC-v1-utf8-source	op-v1-9faf24b0d77040758b655ad10726a067ac785521ef338911bbc14377e4cd1124	cell-v1-69ab4f50be06a3cb5104d05326a54b1396fcb93ed7218f7044da3336bbc420bd	1
v1	archsimd	countUTF16BE	shared-kernel-v1-08c4b9f0d05ac7d8a95245cbfb4c4e7a7e78a491b2ee2e125663f51ed73fa6bc	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-b8dab296367baef8d3d4516cae7beb4787c05fdafe48c4d9acba0a914217ecae	1
v1	archsimd	utf8LengthFromUTF16LEWithReplacement	shared-kernel-v1-08ca47c47e38d03ad2b81340f0bc059b3c7048fdce32d7eddfa39052d05d4771	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-efb941e297a4197293bea3447717080856c5d8b29840884f7ba8e095c6db36d9	1
v1	archsimd	convertUTF32ToUTF8WithErrors	shared-kernel-v1-0916426e610272f8df9beb7f930a0d47bf62798dc5066945b1a67f05725e3627	FC-v1-utf32-source	op-v1-ab0bc72785d23b8753a399b8c46dce11e242254d665fb6c0e7d355fc76f47d7a	cell-v1-43f4a7b0894c4e7c55df1be722b27ece1ad817170a63c652161e6c76bb47c02c	1
v1	archsimd	binaryToBase64	shared-kernel-v1-0a1eb31600f0e27ef16a69135e44f6b4f7bd66377dac9d8c92d335a44497ebbc	FC-v1-base64	op-v1-848432663386540ad98bd7928ec1b28e69d62fd64d15c46ba10443166210a11b	cell-v1-4681ba937c379472c5ae038a10d70e22dcb3838e44e661b905332e57a374aa3f	1
v1	archsimd	toWellFormedUTF16BE	shared-kernel-v1-0a6cd272d5052a9e995a2264cab737872c8e8a9a50e2f39b91028ec5555f10a4	FC-v1-helper-validation	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	cell-v1-c8f7629754d5b7a18b4dbd87d467b9fa4e288ec24579f50d38791265f8363de2	1
v1	archsimd	utf32LengthFromUTF16LE	shared-kernel-v1-0ba20f3619590125bd76202acdd3789ea52ada39660b60091f2b32a82a1fc170	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-99c54e7967fd90b8c273025a180c0728e1e00de8399809f00c58a1e2c17c044c	1
v1	archsimd	binaryLengthFromBase64UTF16	shared-kernel-v1-0e11fbde674ecb4d8514f69f7371361a6c57c0e5e2cb68d309c867d8572677db	FC-v1-base64	op-v1-26b7be20b0edb4bbe19d6040c653a2816d536b2323353575cfe0c48bfbaa7fe5	cell-v1-f7923f61383b04af798fc74b7ddee7e507107ee0ecbed7bae335d45d8b6f54f9	1
v1	archsimd	validateUTF16LEWithErrors	shared-kernel-v1-120db5f70734db70c2adb55bce38c42a97fd63340df6eb1aef80851057d20b8f	FC-v1-helper-validation	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	cell-v1-6c92454ac2618c935caa157521ab5cd331af3858cb5f7abc191c7b3eb73a3c47	1
v1	archsimd	utf16LengthFromUTF32	shared-kernel-v1-1391da4707e4319de46a6df4c65012cda9aae469b8cc7ea4363b3357cf23ea89	FC-v1-utf32-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-9c3cca9eb8a54eb349df25c2428676e41cdfa9fd096abc58bce8cc231ea43525	1
v1	archsimd	changeEndiannessUTF16	shared-kernel-v1-1e921c02c6e79bd2906487327866677381260e571d44fe799bb3e61e9b9acf44	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-c77a4a893145400c02e59dbd80e0ff79a4667feb8c4a7525f8f243ee1060a4df	1
v1	archsimd	validateUTF16BE	shared-kernel-v1-1ffcc9696d2eceb078911ff2a00891400087ed96584a96b668169d8707a5e95c	FC-v1-helper-validation	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	cell-v1-0f5a69862791e6414fb091668cfec8e4def68bdf4a704707a4c16145fab396ed	1
v1	archsimd	convertUTF8ToUTF16LE	shared-kernel-v1-247923e6c87b28044c7a2ae1cb6fc8b52589431ece0b7b075c238136123adddf	FC-v1-utf8-source	op-v1-40ff3813edc41e431f3dfdfd52ef8beeeb37db6a3a1a28156be20f66ed3e1dca	cell-v1-3425a1e95a46640949be8a77269a33b44c41932bb660fdca6f90312a8faa03bd	1
v1	archsimd	convertUTF8ToUTF32	shared-kernel-v1-24bade69d82589cb09663eb9ebb03f249ba20d8865c1b8ea19e1e7cec0d3304f	FC-v1-utf8-source	op-v1-e873fa9443cdd8f0da23033c51511f306b365bb447808f2c01e2a44185f4b40d	cell-v1-64a634fac3a99c947a83c7ce912d58bc8798ffcf1c1d3eb9c8c083b58d0d1b38	1
v1	archsimd	convertValidUTF8ToUTF16LE	shared-kernel-v1-2893697679f733516854289d749cac00a44a2798cdf77fa1328d5b9fc5fc015f	FC-v1-utf8-source	op-v1-40ff3813edc41e431f3dfdfd52ef8beeeb37db6a3a1a28156be20f66ed3e1dca	cell-v1-de58b1651e026a833a2d9be4429148555670f20210f9389df99770bc72694944	1
v1	archsimd	base64ToBinary	shared-kernel-v1-2eb7aa4487fc53119827498f50813b5806506006743b92bd0e56f561d64e7a85	FC-v1-base64	op-v1-26b7be20b0edb4bbe19d6040c653a2816d536b2323353575cfe0c48bfbaa7fe5	cell-v1-339f5c7b4a73caa088b984cedd0209833e7678938dd4e4943758a45c57bd825a	2
v1	archsimd	utf8LengthFromUTF16BEWithReplacement	shared-kernel-v1-30e2884aa1629b394eb8a4178b675edb7d060d878610d4b0575f605090557d71	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-74f7728eac61af3b61ffd5ebac9f7b3db37216620b06458fa3ffd745bcd61c9b	1
v1	archsimd	convertLatin1ToUTF16LE	shared-kernel-v1-311075e2ec5c1e668e9b6480ab51b3d08e9431e4c5a13d0f03e7ad4bd09f6e4e	FC-v1-latin1-source	op-v1-6bdeb609715598fd665e96ece3f87d3fbe30a1f94119012db8eef0f8321a5ae8	cell-v1-d4a85aade5d017332cba718f6941d21b3034f9e03bf2a1a1a06f8d1c904cf54b	1
v1	archsimd	utf8LengthFromUTF16LE	shared-kernel-v1-32012b6e62418728c1ba117eba1415af0a0efd75f4076b04d9803e9ca8a4dc3f	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-7ebf996e1960f9d58a3c066aa2786451c61769d2b333dc31a60e69873be83c35	1
v1	archsimd	countUTF16LE	shared-kernel-v1-36d7f32dd805f8702a076831ceb30ceb56f929d0659459a59459e4e8311da2f0	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-efea2f38cf70ec109af11cbe2eecd032322df83685bf37c27a1a3a40f33d5ce3	1
v1	archsimd	convertUTF16BEToUTF32	shared-kernel-v1-3a2f02069d957f711abeb3a77e1e3a8a6a28a5ee71d2ba9fdb382cbd1ebbdf3e	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-8aa6d0bf1bcc383d42309a564e679f2319f527ffe63b0922e32664b107bd2b95	2
