mapping_version	isa_ordinal	isa_semantic_operation_exact	semantic_operation_id	initial_row_count	initial_cell_count	existing_row_count	reconciliation	evidence_anchor
v1	1	DetectEncodings	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	1	4	0	initial_members	Pin: src/{fallback,westmere,haswell,arm64}/implementation.cpp
v1	2	ValidateASCII and ValidateASCIIWithErrors	op-v1-c4c7c9e320400698cec23a14cdff0d024b92dc0e579b6d877b502db6555be1a7	0	0	2	existing_only	Pin: include/simdutf/scalar/ascii.h; src/generic/ascii_validation.h; Phase 2 implementations ascii_amd64.go/.s, ascii_arm64.go/.s, ascii_archsimd_amd64.go; object audits recorded for Westmere, Haswell, NEON, and tagged amd64 archsimd
v1	3	ValidateUTF8 and ValidateUTF8WithErrors	op-v1-eed76f76119bcefb8bc49475a50063de7ac847f4b7a6f86b981af8df945e6f5d	0	0	2	existing_only	Fuchsia credit retained for scalar utf8.h control flow; Phase 3 family remains in progress despite implemented direct validators
v1	4	ValidateUTF16LE/BE, AsASCII, and WithErrors	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	6	24	3	initial_members	Pin: src/{westmere,haswell,arm64}/*validate_utf16.cpp; Phase 2 subset pin: src/generic/validate_utf16.h:128-158 and local ascii_amd64.go/.s, ascii_arm64.go/.s, ascii_archsimd_amd64.go; all non-AsASCII validation remains Phase 4 pending
v1	5	ValidateUTF32 and ValidateUTF32WithErrors	op-v1-fcf3c75ef3a8f35fde8f3d10682e337ae82354741896c312930200ba84199588	2	8	0	initial_members	Pin: scalar utf32.h; generic validate_utf32.h; arm_validate_utf32le.cpp
v1	6	ToWellFormedUTF16LE/BE	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*utf16fix.cpp
v1	7	ConvertLatin1ToUTF8	op-v1-3eb929e27b14b04ee5095e916e85c77cd45d0b24c2596dc80e916182a794a411	2	8	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf8.cpp
v1	8	ConvertLatin1ToUTF16LE/BE	op-v1-6bdeb609715598fd665e96ece3f87d3fbe30a1f94119012db8eef0f8321a5ae8	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf16.cpp
v1	9	ConvertLatin1ToUTF32	op-v1-5176d9d059b5f5fff21b90ce06c2a15a9d27626704f9a9f002798f8f54ec21ab	1	4	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_latin1_to_utf32.cpp
v1	10	ConvertUTF8ToLatin1, WithErrors, and Valid	op-v1-9faf24b0d77040758b655ad10726a067ac785521ef338911bbc14377e4cd1124	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_latin1.cpp
v1	11	ConvertUTF8ToUTF16LE/BE, WithErrors, and Valid	op-v1-40ff3813edc41e431f3dfdfd52ef8beeeb37db6a3a1a28156be20f66ed3e1dca	9	36	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_utf16.cpp
v1	12	ConvertUTF8ToUTF32, WithErrors, and Valid	op-v1-e873fa9443cdd8f0da23033c51511f306b365bb447808f2c01e2a44185f4b40d	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf8_to_utf32.cpp
v1	13	ConvertUTF16LE/BEToLatin1, WithErrors, and Valid	op-v1-23e074688c6da1c3d0e4e2753a70d2f71051002554b52104e12d3ab4ad6edb82	9	36	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_latin1.cpp
v1	14	ConvertUTF16LE/BEToUTF8, WithErrors, Valid, and WithReplacement	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	17	68	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_utf8.cpp
v1	15	ConvertUTF16LE/BEToUTF32, WithErrors, and Valid	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	12	48	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf16_to_utf32.cpp
v1	16	ConvertUTF32ToLatin1, WithErrors, and Valid	op-v1-1e18b5d883af6824d11bf9595275b60b5dadfa3aceb16261ccf26a7f62f04ed9	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_latin1.cpp
v1	17	ConvertUTF32ToUTF8, WithErrors, and Valid	op-v1-ab0bc72785d23b8753a399b8c46dce11e242254d665fb6c0e7d355fc76f47d7a	3	12	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_utf8.cpp
v1	18	ConvertUTF32ToUTF16LE/BE, WithErrors, and Valid	op-v1-ea2475b4ee7714eee51951faef2b0c9e3bd230f1ed9c34abab54f52ccdedd4d7	9	36	0	initial_members	Pin: src/{westmere,haswell,arm64}/*convert_utf32_to_utf16.cpp
v1	19	UTF16 byte swap, CountUTF16/UTF8, and length helpers	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	9	36	4	initial_members	Pin: target implementation.cpp files and named generic helpers
v1	20	Base64 binary-to-text including lines	op-v1-848432663386540ad98bd7928ec1b28e69d62fd64d15c46ba10443166210a11b	2	8	0	initial_members	Pin: src/{westmere,haswell,arm64}/*base64.cpp
v1	21	Base64 text-to-binary, details/safe forms, and binary length	op-v1-26b7be20b0edb4bbe19d6040c653a2816d536b2323353575cfe0c48bfbaa7fe5	8	32	0	initial_members	Pin: src/{westmere,haswell,arm64}/*base64.cpp
v1	22	Find byte and UTF16 overloads	op-v1-f457b8d0b8064fed65b7673d88f36043087ed548c21061e445413e0c72973a5e	2	8	0	initial_members	Pin: src/generic/find.h; src/arm64/arm_find.cpp
v1	23	BOM check and scalar-only public wrappers	op-v1-342c4c37bd5e54e4f75bb283dcf6846e4759969f21473dc33f7f2b9188cfb8f7	0	0	2	existing_only	Pin: include/simdutf/encoding_types.h; include/simdutf/implementation.h
