schema_version	ordinal	corpus_id	state	element_type	size_units	byte_length_or_pending	sha256_or_pending	source_identity	recipe	family_contracts
v1	1	Q-byte-zero	frozen_deterministic	byte	4096	4096	ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7	generated	4096 zero bytes	FC-v1-helper-validation;FC-v1-utf8-source
v1	2	Q-u16-zero	frozen_deterministic	uint16	2048	4096	ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7	generated	4096 zero bytes decoded only with encoding/binary.NativeEndian into 2048 uint16 values	FC-v1-helper-validation;FC-v1-utf16-source
v1	3	Q-u32-zero	frozen_deterministic	uint32	1024	4096	ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7	generated	4096 zero bytes decoded only with encoding/binary.NativeEndian into 1024 uint32 values	FC-v1-helper-validation;FC-v1-utf32-source
v1	4	Q-emoji	frozen_literal	byte	3150	3150	d6484d359bff183e4d6a4d20b3cc7056c55f372011f28b21b06462ba4d643523	simdutf/simdutf@611becc2a08c27a4edc77d9a45ff74c97130129b:test/emoji/emoji.txt;testdata/upstream/emoji.txt	literal committed bytes	FC-v1-utf8-source;FC-v1-base64
v1	5	Q-arabic-lipsum	frozen_external	byte	81685	81685	b20003e7999187985e931b1b0404f9f273576b3e9bbd77bda7466de5f26a15bb	lemire/unicode_lipsum@b0f1d0c1cb0cb168fc08dbf0e3b7100cdec517dc tree 6008726380b0539e1cdc74956fa4554efdb13db5 path lipsum/Arabic-Lipsum.utf8.txt blob a02d207a57ff12e04d9b41611e7756c88a751935	verify ignored Phase 0 artifact against literal source digest before materialization	FC-v1-utf8-source
v1	6	Q-latin1-ramp	frozen_deterministic	byte	4096	4096	c8f5d0341d54d951a71b136e6e2afcb14d11ed8489a7ae126a8fee0df6ecf193	generated	byte(i modulo 256) for i in [0,4096)	FC-v1-latin1-source
v1	7	Q-find-byte	frozen_deterministic	byte	4096	4096	d5adc7f2d7e4de5ff826cc0ba543bb5ba2e8aaf7609c3594df10af4c9af4f3d8	generated	repeat exact ASCII sequence 0-9A-Za-z and truncate to 4096 bytes	FC-v1-find;FC-v1-detection
v1	8	Q-find-u16le	frozen_deterministic	uint16	2048	4096	96e0c9f77ab0c6b07682cf5252710117ede55c74a5b30b06201602c714a10bfb	generated	first 2048 Q-find-byte code points encoded as BOM-less little-endian uint16	FC-v1-find
v1	9	Q-detection-valid	frozen_deterministic	byte	4096	4096	d5adc7f2d7e4de5ff826cc0ba543bb5ba2e8aaf7609c3594df10af4c9af4f3d8	generated	repeat exact ASCII sequence 0-9A-Za-z and truncate to 4096 bytes; BOM and mixed-validity cases are guard fixtures	FC-v1-detection
v1	10	Q-dns-source	frozen_external	byte	35100000	35100000	d837553e61f96476a75350142085983b366beb9754ed6f21ff9299878d2a1de0	lemire/base64data@3e89f846f15b04e7ee16713984dbdd9d8b5928d4 tree 91030cda0f4daaa22ed3ca7e0f581bd31407fca0 path dns/swedenzonebase.txt blob a57bef558b1fb09153a252432e5c6162d9498bb2	verify 100000 LF-terminated records in ignored Phase 0 artifact	FC-v1-base64
v1	11	Q-dns-normalized	frozen_derived	byte	35000000	35000000	79f1eba2fe0c187f1086f7534b74cd1dd4ef795a515d7db13d613eebafdb1d6f	Q-dns-source d837553e61f96476a75350142085983b366beb9754ed6f21ff9299878d2a1de0	remove exactly all 100000 LF bytes; reject any other shape or output length	FC-v1-base64
v1	12	Q-emoji-utf16le	deferred_until_scalar_publication	uint16	pending	pending	pending	Q-emoji d6484d359bff183e4d6a4d20b3cc7056c55f372011f28b21b06462ba4d643523	materialize solely with accepted scalar UTF-8 to UTF-16LE encoder, then freeze literal units, bytes, and SHA-256 before any UTF-16 provider candidate	FC-v1-utf16-source
v1	13	Q-emoji-utf16be	deferred_until_scalar_publication	uint16	pending	pending	pending	Q-emoji d6484d359bff183e4d6a4d20b3cc7056c55f372011f28b21b06462ba4d643523	materialize solely with accepted scalar UTF-8 to UTF-16BE encoder, then freeze literal units, bytes, and SHA-256 before any UTF-16 provider candidate	FC-v1-utf16-source
v1	14	Q-emoji-utf16-native	deferred_until_scalar_publication	uint16	pending	pending	pending	Q-emoji d6484d359bff183e4d6a4d20b3cc7056c55f372011f28b21b06462ba4d643523	materialize solely with accepted scalar native UTF-16 encoder using encoding/binary.NativeEndian, then freeze before any UTF-16 provider candidate	FC-v1-utf16-source
v1	15	Q-emoji-utf32-native	deferred_until_scalar_publication	uint32	pending	pending	pending	Q-emoji d6484d359bff183e4d6a4d20b3cc7056c55f372011f28b21b06462ba4d643523	materialize solely with accepted scalar UTF-8 to UTF-32 decoder using encoding/binary.NativeEndian, then freeze before any UTF-32 provider candidate	FC-v1-utf32-source
v1	16	Q-find-cpp-capture	deferred_phase13_companion	byte	10001	pending	pending	simdutf/simdutf@611becc2a08c27a4edc77d9a45ff74c97130129b:benchmarks/find/findbenchmark.cpp:24-62	companion captures exact random_device-seeded mt19937 10000 alphabet draws plus terminal equals and freezes bytes before optional C++ comparison	FC-v1-find
v1	17	Q-towellformed-cpp-capture	deferred_phase13_companion	uint16	pending	pending	pending	simdutf/simdutf@611becc2a08c27a4edc77d9a45ff74c97130129b:benchmarks/benchmark_to_well_formed_utf16.cpp:23-77	companion records requested/actual units, surrogate percentages and BOM-less little-endian bytes before optional C++ comparison	FC-v1-helper-validation
