mapping_version	consumer_row_key_v1	consumer_manifest_ordinal	consumer_go_symbol	dependency_kind	owner_kind	owner_logical_id	owner_go_symbol_or_empty	evidence_anchor
v1	rk-v1-512dd68afebe62d40e9920d45ea6a780fc3cea6a767e0c2961755e73a01b7cef	1	AutodetectEncoding	wrapper_delegate	row	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	DetectEncodings	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings
v1	rk-v1-84bdeaeb5d6138a461fb1ccd74b4d0f22128a3bb85327bd9b49cb9b5b9aa6577	2	DetectEncodings	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:3;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238
v1	rk-v1-a52cedcdbe49ab966c5c1d460c3fa50ce38c5e93f1ac07b8e8ce8fcfa73ba3be	3	ValidateUTF16	wrapper_delegate	row	rk-v1-8d5736e31439e82c6c3124a1eca6edf59cec453a5b7a9f32e9099960e8bca489	ValidateUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:4;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477
v1	rk-v1-a52cedcdbe49ab966c5c1d460c3fa50ce38c5e93f1ac07b8e8ce8fcfa73ba3be	3	ValidateUTF16	wrapper_delegate	row	rk-v1-ad34c01660ce58c1c164b0fd72c1d6d352a7b816edd39fb68c8d90ff2aaf90ce	ValidateUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:4;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477
v1	rk-v1-8d5736e31439e82c6c3124a1eca6edf59cec453a5b7a9f32e9099960e8bca489	4	ValidateUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:5;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:510
v1	rk-v1-ad34c01660ce58c1c164b0fd72c1d6d352a7b816edd39fb68c8d90ff2aaf90ce	5	ValidateUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:6;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:543
v1	rk-v1-47f5dfd270841a1944b531421099b8caea100012bf1eec46019a79b3e8bc74b4	6	ValidateUTF16WithErrors	wrapper_delegate	row	rk-v1-34e8babc50eba5d4c910fc6e9269e486d874d1d99cea1cbc37eaf51751d2b8e3	ValidateUTF16BEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:7;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576
v1	rk-v1-47f5dfd270841a1944b531421099b8caea100012bf1eec46019a79b3e8bc74b4	6	ValidateUTF16WithErrors	wrapper_delegate	row	rk-v1-55f826b04d8bbbc821d5ede4c30459a30f115e30782db16a8f89b91d1f2a40d5	ValidateUTF16LEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:7;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576
v1	rk-v1-55f826b04d8bbbc821d5ede4c30459a30f115e30782db16a8f89b91d1f2a40d5	7	ValidateUTF16LEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:8;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:609
v1	rk-v1-34e8babc50eba5d4c910fc6e9269e486d874d1d99cea1cbc37eaf51751d2b8e3	8	ValidateUTF16BEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:9;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:642
v1	rk-v1-fa4941b5d09f0fc5d20e089cf7dee9c8e5b31b949b42bb594a246fc8d4f806d9	9	ToWellFormedUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:10;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:671
v1	rk-v1-8a9d078d2fb7ab56a36f41071ed71d96b4fe16b4d712078637a5f48c3ed5045d	10	ToWellFormedUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:11;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:701
v1	rk-v1-991029ba6b52152f9a1571ba06b800a76de5a02e83c4f62d10c9998125426e33	11	ToWellFormedUTF16	wrapper_delegate	row	rk-v1-8a9d078d2fb7ab56a36f41071ed71d96b4fe16b4d712078637a5f48c3ed5045d	ToWellFormedUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:12;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:731
