mapping_version	go_symbol	isa_ordinal_or_scalar	evidence_anchor
v1	EncodingString	scalar	docs/porting/api-manifest.tsv:EncodingString;611becc2a08c27a4edc77d9a45ff74c97130129b:src/encoding_types.cpp:3-20
v1	Base64OptionsString	scalar	docs/porting/api-manifest.tsv:Base64OptionsString;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4194-4214
v1	LastChunkHandlingOptionsString	scalar	docs/porting/api-manifest.tsv:LastChunkHandlingOptionsString;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4216-4228
v1	ErrorToString	scalar	docs/porting/api-manifest.tsv:ErrorToString;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:47-74
v1	ValidateUTF8	3	docs/porting/api-manifest.tsv:ValidateUTF8;docs/porting/isa-eligibility.tsv:4;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:266-267
v1	ValidateUTF8WithErrors	3	docs/porting/api-manifest.tsv:ValidateUTF8WithErrors;docs/porting/isa-eligibility.tsv:4;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:272-274
v1	ValidateASCII	2	docs/porting/api-manifest.tsv:ValidateASCII;docs/porting/isa-eligibility.tsv:3;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:280-281
v1	ValidateASCIIWithErrors	2	docs/porting/api-manifest.tsv:ValidateASCIIWithErrors;docs/porting/isa-eligibility.tsv:3;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:284-287
v1	ValidateUTF16AsASCII	4	docs/porting/api-manifest.tsv:ValidateUTF16AsASCII;docs/porting/isa-eligibility.tsv:5;611becc2a08c27a4edc77d9a45ff74c97130129b:src/implementation.cpp:1645-1651
v1	ValidateUTF16BEAsASCII	4	docs/porting/api-manifest.tsv:ValidateUTF16BEAsASCII;docs/porting/isa-eligibility.tsv:5;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:301-306
