mapping_version	manifest_ordinal	go_symbol	family_contract_display_id	isa_ordinal_or_scalar	canonical_kernel_name	westmere_outcome	westmere_direct_symbol	westmere_na_reason	westmere_evidence_anchor	haswell_outcome	haswell_direct_symbol	haswell_na_reason	haswell_evidence_anchor	archsimd_outcome	archsimd_direct_symbol	archsimd_na_reason	archsimd_evidence_anchor	neon_outcome	neon_direct_symbol	neon_na_reason	neon_evidence_anchor
v1	106	MaximalBinaryLengthFromBase64	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4244	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4244	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4244	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4244
v1	107	MaximalBinaryLengthFromBase64UTF16	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4276	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4276	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4276	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4276
v1	108	BinaryLengthFromBase64	FC-v1-base64	21	binaryLengthFromBase64	eligible	binaryLengthFromBase64Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4307;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1479-1482;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64lengths.h:6-31;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	binaryLengthFromBase64Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4307;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1447-1450;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:715-746	eligible	binaryLengthFromBase64Archsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	binaryLengthFromBase64NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4307;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1441-1444;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64lengths.h:6-31;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	109	BinaryLengthFromBase64UTF16	FC-v1-base64	21	binaryLengthFromBase64UTF16	eligible	binaryLengthFromBase64UTF16Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4341;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1484-1487;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64lengths.h:33-60;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	binaryLengthFromBase64UTF16Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4341;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1452-1455;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:748-780	eligible	binaryLengthFromBase64UTF16Archsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	binaryLengthFromBase64UTF16NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4341;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1446-1449;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64lengths.h:33-60;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	110	Base64ToBinary	FC-v1-base64	21	base64ToBinary	eligible	base64ToBinaryWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4412;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1326-1354;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	base64ToBinaryHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4412;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1295-1323;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:409-440	eligible	base64ToBinaryArchsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	base64ToBinaryNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4412;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1299-1327;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	111	Base64ToBinaryUTF16	FC-v1-base64	21	base64ToBinaryUTF16	eligible	base64ToBinaryUTF16Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4674;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1386-1414;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	base64ToBinaryUTF16Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4674;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1355-1383;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:409-440	eligible	base64ToBinaryUTF16Archsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	base64ToBinaryUTF16NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4674;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1359-1387;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	112	Base64LengthFromBinary	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4446	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4446	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4446	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4446
v1	113	Base64LengthFromBinaryWithLines	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4462	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4462	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4462	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4462
v1	114	BinaryToBase64	FC-v1-base64	20	binaryToBase64	eligible	binaryToBase64Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4490;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1446-1454;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:89-324	eligible	binaryToBase64Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4490;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1415-1423;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:95-350	eligible	binaryToBase64Archsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	binaryToBase64NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4490;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1419-1423;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:113-245
v1	115	BinaryToBase64WithLines	FC-v1-base64	20	binaryToBase64WithLines	eligible	binaryToBase64WithLinesWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4536;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1456-1467;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:89-318	eligible	binaryToBase64WithLinesHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4536;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1425-1436;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:95-350	eligible	binaryToBase64WithLinesArchsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	binaryToBase64WithLinesNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4536;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1425-1429;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:113-240
